,Text,Original Summary,MLE Summary,GAN Summary
0," one person was killed and several others were injured after violent clashes erupted between dalit and maratha groups in maharashtra's koregaon bhima on the 200th anniversary of battle of bhima <unk> british troops comprising dalits had defeated upper-caste <unk> in the <unk> battle. a police vehicle, a fire tender, and 23 other cars were torched in the incident. "," 1 killed, 25 vehicles torched in violence in maharashtra "," 1 killed, vehicles in torched between maharashtra maharashtra "," 1 killed, 25 injured torched in maharashtra "
1," new zealand's seth <unk> who featured in two odis and four t20is for his country, helped rescue <unk> white swan pub from a fire disaster. the 30-year-old cricketer is a station officer with the <unk> fire brigade and explained that the fire originated in the building's southern end. notably, former kiwi pacer shane bond worked in the police force. ", cricketer helps put out fire to save pub in new zealand , new zealand player who saved save save save fire , new zealand cricketer scores behind save himself 
2, the centre's net direct tax collections stood at <unk> lakh crore for <unk> witnessing a growth of 15.8% compared to collections for the corresponding period of last year. this is <unk> by a growth in advance tax <unk> and represents 39.4% of the total budget estimate of direct taxes at â¹9.8 lakh crore for the financial year 2017-18. , direct tax revenue rises 15.8% to <unk> lakh cr for apr-sep , direct tax revenue rises 15.8% to <unk> lakh in apr-sep , direct tax revenue rises 15.8% to <unk> lakh 
3, zaira wasim and aamir khan starrer 'secret superstar' has earned over â¹200 crore within four days of its release in china. the film broke the opening weekend record of â¹72.68 crore set by aamir's film 'dangal' at the chinese box office. it earned â¹100 crore in china in the first two days. , 'secret superstar' earns over â¹200 crore in 4 days in china , 'secret superstar' earns over â¹200 crore 4 days in china , 'secret superstar' earns over â¹200 crore in china 
4," actor shah rukh khan is in vancouver, canada for delivering his first speech at ted talks for this year's event scheduled from april 24 to april 28. described by the ted talks website as an actor, producer and activist, srk's session is called <unk> of tomorrow. other speakers this year include tennis player serena williams and tesla ceo elon musk. ", shah rukh in canada to deliver his first speech at ted talks , shah rukh khan to canada at 1st at at speech speech , shah rukh khan to canada robot for 1st speech 
5," former congress mp priya dutt on monday announced that she will not contest the 2019 lok sabha polls. ""i struggled to keep a balance between my personal and political <unk> took a toll on many aspects of my life,"" she said. priya entered electoral politics in 2005 and had fought three general assembly elections, the last one being in 2014. ", ex-cong mp priya dutt to not contest 2019 lok sabha polls , ex-cong mp priya dutt won't not lok sabha lok sabha , ex-cong mp priya dutt won't not contest 2019 
6," talking about executive joel kaplan supporting judge brett kavanaugh who has been accused of sexual assault, facebook coo sheryl sandberg said, ""i think it was a mistake for him to attend the hearing."" ""as a <unk> kavanaugh issue is deeply upsetting to me,"" she added. kaplan was spotted at kavanaugh's senate hearing last week. ", it was a mistake: sandberg on fb exec backing kavanaugh , was was a mistake: sandberg on on backing backing kavanaugh , i was a mistake: sandberg on backing kavanaugh 
7," jackie shroff, on being asked which designer's outfits he's wearing at an award function, responded by saying he has no idea. ""these are my riding shoes, which i wear whenever i wish to,"" he added. he revealed that he got his jacket and pants as gifts. jackie jokingly said he's wearing the original versions of his heart, soul and <unk> ", i've no idea what i'm <unk> jackie at award function , i've no no what jackie jackie jackie at award , i've no idea i'm jackie jackie award at 
8," the government has sought tata sons' help to rescue cash-strapped jet airways, according to reports. tata is reportedly in talks with the government about a potential haircut to state-owned banks on the carrier's loans while airports authority of india may forego some of its dues. jet airways has a fleet of 124 aircraft and a 15.8% domestic market <unk> ", government sought tata sons' help to rescue jet airways: reports , govt sought tata sons' help to rescue jet airways: reports , govt sought tata sons' help to rescue airways: reports 
9," a case has been filed in bihar against madhya pradesh cm kamal nath for his remark on migrants from uttar pradesh and bihar. while announcing that incentives will only be provided to industries where 70% of employees are locals, nath had said there are industries where people from bihar, <unk> are employed while the youth in mp is denied jobs. "," case filed against mp cm over remark on up, bihar migrants ", fir filed against mp cm over on on on on , case filed against mp cm for on on 
