,Text,Original Summary,MLE Summary,GAN Summary
0, former pakistan captain shahid afridi pulled off a boundary line catch during his team karachi kings' match against quetta gladiators in pakistan super league on friday. afridi first caught the ball with one hand and threw it up before losing balance and going outside the fence. the 37-year-old ran back inside and completed the catch to dismiss gladiators' umar <unk> ," afridi tosses ball inside fence, runs back in to take catch "," afridi pulls off fence, fence, picks his in in match "," afridi tosses ball off fence, picks his in "
1," the allahabad high court has amended a <unk> rule by reducing the 10-day wait period for bail to two days, barring exceptional circumstances. advocate syed mohammad haider rizvi had first raised the issue in 2016, claiming the 10-day wait period was unconstitutional and interfered with the fundamental rights of innocent people. ", allahabad hc reduces 10-day wait period for bail to 2 days , allahabad hc reduces 10-day wait period for 2 days , allahabad hc reduces 10-day period for bail 
2," indian pair of mairaj khan and <unk> rathore won gold in the mixed <unk> team event on the concluding day of the 7th asian shotgun championship in kazakhstan on sunday. india finished the championship with a total of eight medals, with ankur mittal winning an individual gold and a team gold in the men's double trap event. "," mairaj, rashmmi win mixed skeet gold at asian shotgun c'ship "," mairaj, rashmmi win gold skeet in mixed asian c'ship c'ship "," mairaj, rashmmi win mixed skeet wins gold at shotgun "
3, the karnataka department of collegiate education has directed private aided colleges to submit the <unk> excess fee collected by them from students to the department. it added that government grants to colleges failing to submit the excess fee will be withdrawn. the aided colleges are legally bound to submit a stipulated portion of the excess fee to the government. , k'taka private colleges directed to give excess fee to govt , k'taka govt colleges directed to hike fee fee fee , k'taka private colleges directed to hike excess fee 
4," amazon on thursday announced it has suspended the chief of its entertainment division, roy price after he was accused of sexually harassing an amazon show producer, isa <unk> hackett claimed price made sexual advances towards her in 2015, while they were on the way to attend a staff party. amazon said price is going ""on leave of absence effective immediately."" ", amazon suspends top exec amid sexual harassment allegations , amazon suspends head of harassment harassment over harassment , amazon suspends its harassment exec amid sexual harassment 
5," at a recent information session, the boring company's founder elon musk said, ""if anyone can detect that we're just digging a tunnel we'd be glad to hire them because they have some very impressive detection <unk> musk added that walking on the surface creates more vibration than the company's tunnel boring machine. ", if anyone can detect us digging tunnel we'll hire them: musk , if anyone can detect detect digging digging we'll hire them: musk , anyone can be detect digging digging tunnel them: them: musk 
6," pakistani cricketer-turned-commentator ramiz raja has said he won't be translating anything from urdu to english anymore after pakistan captain sarfaraz ahmed was caught on stump mic calling south africa's andile phehlukwayo 'abey kaale' during an odi. ""it would've been an <unk> way of commentating and <unk> on my behalf,"" raja added about not translating sarfaraz's remark on air. ", i won't translate from urdu to english anymore: raja on 'kaale' row , i won't translate urdu urdu from english on raja raja , i won't translate urdu urdu urdu english raja 
7," after virender sehwag shared a picture of himself dressed as 'baba' on twitter, a user tweeted, ""thodi kripa dhawan ko bhi de do, catch pe catch drop kar raha hai."" other tweets read, ""only viru baba's <unk> can help indian team win the test series in england."" ""you look like akshay kumar from bhool <unk> another tweet read. "," <unk> kripa dhawan ko de do, tweets user to 'baba' sehwag ", twitter kripa dhawan ko ko de tweets user on 'baba' , twitter kripa dhawan ko de tweets user on 'baba' 
8," militant group hezbollah has launched a video game, 'sacred defence - protecting the homeland and holy <unk> inspired from the syrian war which lets users kill islamic state militants. the developers said the video game aims to make players understand ""what really happened and what the fighters who made sacrifices were doing"". hezbollah deployed its fighters in syria in 2013. ", hezbollah launches video game that lets users kill isis , hezbollah launches video video that lets lets users kill isis , hezbollah launches video of men's war from afghanistan 
9," hollywood actor dwayne johnson will attend priyanka chopra and nick jonas' wedding, which will be held in jodhpur's umaid bhawan, as per reports. dwayne has worked with priyanka and nick in 'baywatch' and 'jumanji: welcome to the jungle' respectively. reports said the couple <unk> have a hindu wedding on december 2, followed by a christian wedding on december 3. ", dwayne johnson to attend priyanka-nick's wedding in india: reports , dwayne johnson to attend priyanka-nick's wedding in india: reports , dwayne johnson to be in priyanka-nick's in reports 
